label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,220,636,12,158.043076,7.845,0.85051,,D2-label-1,allantoin,allantoin,C4H6N4O3,0.206036,0.57929,157.036758,28890.94,25462.01,29145.63,36207.93,41069.64,43472.06,34946.29,32715.8,31076.6,25930.9,14954.81,29601.55,0,0
,220,221,12,159.041061,7.851,0.853801,,O18-label-1,allantoin,allantoin,C4H6N4O3,0.199732,0.671598,157.036758,128174.41,134274.33,179107.58,176158.8,200362.5,189865.55,186012.75,123093.59,101725.62,102929.78,62327.09,136529.39,216.6,458.04
,218,218,12,158.061081,3.505,0.829437,[M-H]-,C12 PARENT,Indole-3-acetylaldehyde,Indole-3-acetylaldehyde,C10H9NO,0.645373,0.386149,158.061081,41029412,53567008,34145364,26862608,46400628,47084160,33844160,30542672,36375804,31360408,38321740,72587688,3437.5,1972.3
,218,637,12,160.065475,3.477,0.799512,,O18-label-1,Indole-3-acetylaldehyde,Indole-3-acetylaldehyde,C10H9NO,0.616641,0.571971,158.061081,77475.87,97425.49,70159.63,41200.7,79536.93,69925.39,57632.34,52387.51,70426.29,63104.01,65469.77,107603.38,0,0
,223,223,13,161.045624,11.746,0.842181,[M-H]-,C12 PARENT,3-hydroxy-3-methyl-Glutaric acid,3-hydroxy-3-methyl-Glutaric acid,C6H10O5,1.233867,0.473741,161.045624,2718809.75,2812962,2739211.75,2339959,2971283.75,2784384.75,2915634.25,2536656,2651160,2764576,2007089.12,3031657.25,4915.42,2020.81
,223,641,12,162.05191,11.712,0.815995,,D2-label-1,3-hydroxy-3-methyl-Glutaric acid,3-hydroxy-3-methyl-Glutaric acid,C6H10O5,1.268245,0.56496,161.045624,103076.95,117161.23,111056.75,141204.08,119032.56,151791.42,72431.72,79666.09,52024.33,57271.67,45790.01,79414.05,240.23,0
,223,638,7,163.058197,11.746,0.840751,,D2-label-2,3-hydroxy-3-methyl-Glutaric acid,3-hydroxy-3-methyl-Glutaric acid,C6H10O5,1.233766,0.561473,161.045624,2719.92,3515.88,1983.18,3683.27,2016.4,3429.49,1736.73,932.7,543.21,756,1019.56,1555.18,0,0
,223,639,12,163.049911,11.733,0.797954,,O18-label-1,3-hydroxy-3-methyl-Glutaric acid,3-hydroxy-3-methyl-Glutaric acid,C6H10O5,1.246964,0.748669,161.045624,122912.6,136643.22,122773.9,139332.44,136837.69,149628.05,84619.87,90200.34,73984.57,78330.66,57108.27,80977.52,293.72,0
,223,640,4,165.054092,11.768,0.815911,,O18-label-2,3-hydroxy-3-methyl-Glutaric acid,3-hydroxy-3-methyl-Glutaric acid,C6H10O5,1.211814,0.369789,161.045624,2363.31,3639.89,3656.62,2048.97,3419.61,2592.97,913.13,1396.49,441.81,544.34,372.31,781.89,1781.13,0
,272,272,12,172.991425,1.95,0.819669,[M-H]-,C12 PARENT,Phenol sulphate,Phenol sulphate,C6H6O4S,0.159101,0.088205,172.991425,19537476,25978002,22363426,12266023,25816806,17736330,24165238,38348300,24833042,23081112,15186109,31242806,4581.93,2681.12
,272,273,12,173.997787,1.955,0.828023,,D2-label-1,Phenol sulphate,Phenol sulphate,C6H6O4S,0.154448,0.613868,172.991425,159147.19,194975.14,226111.98,123381.66,237081.86,138062.06,257468.25,315084.03,242085.58,334864.34,160610.98,349996.38,810.86,995.79
,272,274,12,174.995712,1.948,0.827787,,O18-label-1,Phenol sulphate,Phenol sulphate,C6H6O4S,0.160625,0.348781,172.991425,470962.53,714786.44,582824.25,351149.78,758541,469197.88,706006.19,1346541.12,698259.31,610131.31,337052.12,869477.81,211.5,0
,263,263,13,174.08847,13.572,0.837726,[M-H]-,C12 PARENT,citrulline,citrulline,C6H13N3O3,0.043125,0.350599,174.08847,495052.88,485071,683552.25,546342.06,740933.19,602842.06,834202.06,633797.19,804393.75,732878,586731.44,912540.69,890.84,214.6
,263,642,12,175.094727,13.597,0.832109,,D2-label-1,citrulline,citrulline,C6H13N3O3,0.0176,0.174292,174.08847,8743.09,6885.92,8843.57,8484.72,10094.88,10219.33,14550.45,15064.38,11010.95,8348.18,5458.07,11046.69,0,0
,263,264,12,176.092789,13.578,0.849863,,O18-label-1,citrulline,citrulline,C6H13N3O3,0.037152,0.779868,174.08847,12165.08,12966,16524.7,14006.91,18737.4,13456.91,19573.5,16458.56,18791.1,13931.31,10567.8,16976.94,310.34,642.69
,620,620,12,187.00708,1.937,0.827504,[M-H]-,C12 PARENT,Cresol sulfate,Cresol sulfate,C7H8O4S,0.168597,0.163189,187.00708,2010095.62,1912244.88,755651.69,788326.81,625486.56,698341.44,2465163.25,2860497.25,1199732,1416719,964686.69,1224151.38,323.09,669.8
,620,621,7,188.013443,1.94,0.84583,,D2-label-1,Cresol sulfate,Cresol sulfate,C7H8O4S,0.166309,0.568106,187.00708,7948.57,6724.14,2500.9,7729.61,2350.86,4555.78,13640.73,10137.26,7418.24,6886.58,7946.88,5608.35,0,175.52
,620,622,12,189.011337,1.939,0.829819,,O18-label-1,Cresol sulfate,Cresol sulfate,C7H8O4S,0.166837,0.242189,187.00708,30219.49,41007.95,13126.28,15826.68,14198.62,10993.99,51571.41,83412.63,20583.13,32171.63,12130.26,25072.9,183.14,0
,16,16,12,188.071747,2.795,0.827397,[M-H]-,C12 PARENT,Indole-3-propionic acid,Indole-3-propionic acid,C11H11NO2,0.014754,0.243398,188.071747,2637715,2921997.25,2443638,1997274,2999213,2245448.75,3833466.75,4048809.25,2557230.5,4698836.5,2501261.75,3213396.75,589.54,0
,16,17,12,189.077316,2.802,0.80789,,D2-label-1,Indole-3-propionic acid,Indole-3-propionic acid,C11H11NO2,0.008295,3.470145,188.071747,8835.19,11220.01,16682.14,18197.81,21988.46,13132.37,40903.88,70311.15,25353.89,56598.97,19150.45,38521.68,5467.21,4831.91
